Day,Hour,Power,Dummy
5,0,27.1,0
5,1,21.6,0
5,2,23.9,0
5,3,29,0
5,4,27.5,0
5,5,16.1,0
5,6,23.8,0
5,7,19.4,0
5,8,19.6,0
5,9,21.6,0
5,10,20.6,0
5,11,25.8,0
5,12,43,1
5,13,40.5,1
5,14,41.8,1
5,15,41.3,1
5,16,46,1
5,17,39.2,1
5,18,41.3,1
5,19,16.6,0
5,20,9.8,0
5,21,22.6,0
5,22,23.5,0
5,23,17,0
6,0,34.1,0
6,1,19.2,0
6,2,25.2,0
6,3,24.3,0
6,4,31.1,0
6,5,30.9,0
6,6,25.6,0
6,7,26.5,0
6,8,21.4,0
6,9,17.1,0
6,10,23.6,0
6,11,25.6,0
6,12,49.9,1
6,13,49.8,1
6,14,43.5,1
6,15,43.8,1
6,16,40.8,1
6,17,39.3,1
6,18,38.2,1
6,19,32.8,0
6,20,23,0
6,21,23.2,0
6,22,20,0
6,23,28.1,0
7,0,23.5,0
7,1,29.1,0
7,2,26.4,0
7,3,31.5,0
7,4,28,0
7,5,25.3,0
7,6,29.9,0
7,7,31.7,0
7,8,30.3,0
7,9,31.2,0
7,10,27.5,0
7,11,28.5,0
7,12,47.3,1
7,13,48.6,1
7,14,46.7,1
7,15,43.1,1
7,16,50.7,1
7,17,48.4,1
7,18,43.5,1
7,19,31.9,0
7,20,26.4,0
7,21,30.2,0
7,22,32.9,0
7,23,30.5,0
